questionExternalId,sourceLanguage,targetLanguage,questionTextSource,explanationSource,answerASource,answerBSource,answerCSource,answerDSource,questionTextTarget,explanationTarget,answerATarget,answerBTarget,answerCTarget,answerDTarget
1.1.06-104,en,ru,When are you in danger when overtaking?,"If you notice that the vehicle behind you wants to overtake you, do not increase your own speed under any circumstances. This prolongs the overtaking manoeuvre and can lead to dangerous situations. Before you start to overtake, make sure that the vehicle behind you is not about to overtake you. Otherwise they will have to brake heavily.",- suddenly accelerates,- swerves out to overtake,- reduces his speed considerably,,Когда Вы подвергаетесь опасности при обгоне?,"Если Вы заметили, что транспортное средство позади хочет Вас обогнать, ни в коем случае не увеличивайте собственную скорость. Это удлиняет обгон и может привести к опасным ситуациям. Перед началом обгона убедитесь, что транспортное средство позади Вас само не собирается обгонять. Иначе ему придётся резко тормозить.",- внезапно ускоряется,- выезжает для обгона,- значительно снижает скорость,
1.1.06-105,en,ru,In which cases must you abandon overtaking?,"Sudden oncoming traffic requires that an overtaking manoeuvre be stopped immediately. The same applies if the vehicle to be overtaken accelerates. This means that you can no longer estimate the overtaking distance and endanger oncoming traffic if you continue. If the vehicle being overtaken reduces its speed, there is no danger.",When the road user being overtaken suddenly accelerates,When there is danger from unexpected oncoming traffic,When the road user being overtaken considerably reduces his speed,,В каких случаях необходимо прервать обгон?,"Неожиданное появление встречного транспорта требует немедленно прекратить обгон. То же самое относится к ситуации, когда обгоняемое транспортное средство ускоряется. Тогда Вы уже не можете точно оценить дистанцию обгона и при продолжении можете создать опасность встречному движению. Если обгоняемое транспортное средство снижает скорость, опасности из-за этого нет.",Когда обгоняемый участник движения внезапно ускоряется,Когда возникает опасность из-за неожиданного встречного транспорта,Когда обгоняемый участник движения значительно снижает скорость,
1.1.06-106,en,ru,When is overtaking forbidden?,"If you encounter an unclear traffic situation, overtaking is prohibited. This applies in particular:
- On bends
- On unclear stretches of road
- Immediately before and at junctions where the right of way is unclear
- When the traffic situation is unclear
- If you cannot judge exactly what the vehicle in front is doing.
- If it would take you too long to overtake because your vehicle is not fast enough.
Before overtaking, make sure that you do not endanger other road users and oncoming traffic.",If you are unable to drive considerably faster than the road user being overtaken,If you do not have a clear view of the road ahead,If the traffic situation is not clear,,Когда обгон запрещён?,"При неясной дорожной ситуации обгон запрещён. Это особенно относится к поворотам, непросматриваемым участкам дороги, местам непосредственно перед и на перекрёстках с неясным приоритетом, а также к ситуациям, когда нельзя точно оценить действия впереди идущего транспортного средства. Если Ваш автомобиль недостаточно быстр и обгон займёт слишком много времени, обгон также недопустим. Перед обгоном убедитесь, что Вы не создаёте опасность другим участникам движения и встречному транспорту.",Если Вы не можете ехать значительно быстрее обгоняемого участника движения,Если у Вас нет хорошего обзора дороги впереди,Если дорожная ситуация неясна,
1.1.06-111,en,ru,"Why can it be dangerous to overtake even on clearly visible, straight roads?","On a straight stretch of road, you may be able to see oncoming traffic from a distance, but often underestimate their speed. If an overtaking manoeuvre takes too long, dangerous situations can arise. If there is oncoming traffic, it is better to wait until the road is clear before overtaking.",- oncoming traffic is travelling faster than first thought,- the overtaking distance is longer than first thought,- oncoming traffic is travelling slower than first thought,,Почему обгон может быть опасен даже на хорошо просматриваемых прямых дорогах?,"На прямом участке дороги встречный транспорт может быть виден издалека, но его скорость часто недооценивают. Если обгон длится слишком долго, могут возникнуть опасные ситуации. При наличии встречного транспорта лучше дождаться, пока дорога будет свободна.","- встречный транспорт движется быстрее, чем сначала казалось","- дистанция обгона длиннее, чем сначала казалось","- встречный транспорт движется медленнее, чем сначала казалось",
1.1.06-113,en,ru,What should you do in this situation?,"You must not overtake the cyclist: you must not cross the continuous centre line under any circumstances, not even partially. Likewise, you must not use a horn here.",I remain behind the cyclist,I overtake the cyclist,"I sound my horn, so that the cyclist makes way",,Что следует сделать в этой ситуации?,"Вам нельзя обгонять велосипедиста: сплошную осевую линию нельзя пересекать ни при каких обстоятельствах, даже частично. Также здесь нельзя использовать звуковой сигнал.",Я остаюсь за велосипедистом,Я обгоняю велосипедиста,"Я подаю звуковой сигнал, чтобы велосипедист уступил дорогу",
1.1.06-114,en,ru,What should you do?,"You just want to start overtaking the cyclist, when the blue car suddenly drives out of its parking space. Apparently, he has not noticed the cyclist yet. It might happen that the cyclist now moves to the left, without looking back. Immediately stop the overtaking maneuver to avoid endangering the cyclist.",I abort the overtaking manoeuvre,I perform the overtaking manoeuvre quickly,I perform the overtaking manoeuvre cautiously,,Что следует сделать?,"Вы собираетесь начать обгон велосипедиста, когда синий автомобиль внезапно выезжает с места парковки. По-видимому, его водитель ещё не заметил велосипедиста. Возможно, велосипедист сместится влево, не оглянувшись назад. Немедленно прекратите обгон, чтобы не подвергнуть велосипедиста опасности.",Я прекращаю манёвр обгона,Я быстро выполняю обгон,Я осторожно выполняю обгон,
1.1.06-121-M,en,ru,What must you anticipate in this situation?,Your lane is blocked by a stopped vehicle. You must swerve into the oncoming lane to get around it. Pay particular attention to oncoming traffic. The cyclist in front of you will also go around the obstacle and may not indicate this by hand signals.,The cyclist will drive past to the left of the parked car,Oncoming traffic,The cyclist will dismount to allow me to pass,,Чего следует ожидать в этой ситуации?,"Ваша полоса заблокирована остановившимся автомобилем. Чтобы объехать его, Вам нужно выехать на встречную полосу. Особенно внимательно следите за встречным движением. Велосипедист впереди Вас также будет объезжать препятствие и может не подать сигнал рукой.",Велосипедист объедет припаркованный автомобиль слева,Встречного транспорта,"Велосипедист сойдёт с велосипеда, чтобы пропустить меня",
1.1.06-122,en,ru,"What should you anticipate, if you want to overtake?","On snow-covered roads, the braking and stopping distance is longer and there is also an increased risk of slipping. Cyclists in particular have difficulty riding safely. Their risk of falling is significantly increased. Keep a greater distance from the cyclist, also because his stopping distance is very long.",With the unsafe riding manner of the cyclist,With an extended stopping distance,With the risk of skidding,,"Чего следует ожидать, если Вы хотите обогнать?","На заснеженной дороге тормозной и остановочный путь увеличиваются, а риск скольжения повышается. Особенно велосипедистам трудно ехать устойчиво; риск падения значительно выше. Держите большее расстояние от велосипедиста, в том числе потому, что его остановочный путь очень длинный.",Неуверенной манеры езды велосипедиста,Увеличенного остановочного пути,Риска заноса,
1.1.06-123,en,ru,You want to overtake. What should you prepare yourself for?,"A cyclist might shake as one-handed driving and the heavy load on the rack make his bike unstable. If the front cyclist turns around, it will likely make him swing to the left and take up more space than usual. You should only drive past the cyclists with a safe distance of at least two meters.",The cyclist will come to a sudden stop right in front of me,The cyclist farther in front will swerve to the left,Oncoming traffic will appear suddenly,,Вы хотите обогнать. К чему нужно быть готовым?,"Велосипедист может вилять, потому что едет одной рукой, а тяжёлый груз на багажнике делает велосипед неустойчивым. Если передний велосипедист оглянется, он, скорее всего, качнётся влево и займёт больше места, чем обычно. Проезжать мимо велосипедистов следует только с безопасным интервалом не менее двух метров.",Велосипедист внезапно остановится прямо передо мной,Велосипедист дальше впереди сместится влево,Встречный транспорт появится внезапно,
1.1.06-124,en,ru,You want to overtake cyclists on a narrow road. The width of the road means that the maximum possible space between them and the car is 50 cm. What should you do?,"To avoid danger, as a vehicle driver you must always keep a sufficient safety distance of at least 1.50 metres when overtaking cyclists. If it is not possible to pass the cyclist at such a distance, you must not overtake him under any circumstances.",I refrain from overtaking,I give a short warning signal before overtaking,I overtake at a moderate speed,,Вы хотите обогнать велосипедистов на узкой дороге. Ширина дороги позволяет оставить между ними и автомобилем максимум 50 см. Что следует сделать?,"Боковой интервал 50 см слишком мал. При обгоне велосипедистов необходимо соблюдать достаточный боковой интервал, как правило не менее 1,5 м. Если это невозможно, обгонять нельзя.",Я отказываюсь от обгона,Я подаю короткий предупредительный сигнал перед обгоном,Я обгоняю на скорости пешехода,
1.1.06-125,en,ru,You want to overtake cyclists. What should be noted when selecting the distance between the cyclists and the car?,"If you want to overtake a cyclist, you must consider the following with regard to the lateral distance: The side distance must be at least 1.5 m, more if the cyclist's behaviour is conspicuous. The reasons for this are possible oscillating movements of the cyclist, but also the possible suction effect of your vehicle at higher speed. Honking as well as overtaking at a lower lateral distance are considered gross negligence.",How the cyclists are acting,The speed of my vehicle,1.0 m between the cyclist and the car is always sufficient,,Вы хотите обогнать велосипедистов. Что нужно учитывать при выборе расстояния между велосипедистами и автомобилем?,"При обгоне велосипедиста необходимо учитывать боковой интервал: он должен составлять не менее 1,5 м, а при заметно неуверенном поведении велосипедиста — больше. Причины — возможные колебания велосипедиста, а также возможный эффект всасывания от Вашего автомобиля на высокой скорости. Подача сигнала и обгон с меньшим боковым интервалом считаются грубой неосторожностью.",Поведение велосипедистов,Скорость моего автомобиля,"1,0 м между велосипедистом и автомобилем всегда достаточно",
1.1.06-127-M,en,ru,What is the right course of action?,"The cyclist will overtake the lorry and pull out to do so. It is too dangerous to overtake him before the bend, as you may not yet be able to see oncoming vehicles. Only overtake the cyclist after the bend. As a general rule, you may only overtake if you can see that there is no danger to or obstruction of oncoming traffic during the entire overtaking process.",- after the bend,- before drawing level with the [truck],- between [truck] and bend,,Как правильно поступить?,"Велосипедист будет обгонять грузовик и для этого сместится влево. Обгонять его перед поворотом слишком опасно, потому что Вы ещё можете не видеть встречные транспортные средства. Обгоняйте велосипедиста только после поворота. В целом обгон разрешён только тогда, когда Вы видите, что в течение всего манёвра не будет опасности или помех встречному движению.",- после поворота,"- до того, как поравняюсь с [грузовиком]",- между [грузовиком] и поворотом,
1.1.06-128,en,ru,In which situation is overtaking prohibited?,"Overtaking is prohibited here, because in these situations you greatly increase the risk of an accident as the person overtaking.",- cannot complete the overtaking manoeuvre before the start of a no-overtaking section,- cannot complete the overtaking manoeuvre before a hill crest,- am unable to maintain the necessary space to the side,,В какой ситуации обгон запрещён?,"В этих ситуациях обгон запрещён, потому что Вы значительно повышаете риск ДТП как обгоняющий водитель.",- если я не смогу завершить обгон до начала участка с запретом обгона,- если я не смогу завершить обгон до вершины подъёма,- если я не могу выдержать необходимый боковой интервал,
1.1.06-129-M,en,ru,You want to overtake. What should you be prepared for now?,"The cyclist directly in front of you wants to cross onto the pedestrian path, in order to cross the kerb the cyclist will most likely stop first. The distant cyclist shows by his hand gesture that he wants to move into the left turn lane.","[The cyclist] directly in front of me, stops on the roadway",[The] [cyclist] in the distance pulls out to the left,[The blue car] overtakes me,,Вы хотите обогнать. К чему сейчас нужно быть готовым?,"Велосипедист прямо перед Вами хочет выехать на пешеходную дорожку; чтобы переехать бордюр, он, скорее всего, сначала остановится. Дальний велосипедист жестом руки показывает, что хочет перестроиться в полосу для поворота налево.",[Велосипедист] прямо передо мной остановится на проезжей части,[Велосипедист] вдали сместится влево,[Синий автомобиль] обгонит меня,
1.1.06-130,en,ru,"Why can it be dangerous to overtake on an unobscured, straight road?","If you misjudge the speed and distance of an oncoming vehicle, your overtaking distance is longer than expected. This can cause accidents.",- estimate the distance away of an oncoming vehicle as being too great,- estimate the speed of an oncoming vehicle as being too low,- estimate my overtaking distance to be shorter than it is,,Почему обгон на прямой дороге с хорошим обзором может быть опасен?,"Если неправильно оценить скорость и расстояние до встречного транспортного средства, дистанция обгона окажется длиннее ожидаемой. Это может привести к ДТП.",- я могу посчитать расстояние до встречного автомобиля слишком большим,- я могу посчитать скорость встречного автомобиля слишком низкой,"- я могу посчитать свою дистанцию обгона короче, чем она есть",
1.1.06-131-M,en,ru,What is the right course of action now?,The vehicle overtaking you has estimated its overtaking path too short. You should reduce your speed so that the overtaking person can re-enter earlier and that the risk of an accident is reduced.,I reduce my speed,"I move to the right, onto the parking strip",I maintain my current speed,,Как правильно поступить сейчас?,"Обгоняющий Вас автомобиль неверно оценил необходимый путь обгона. Вам следует снизить скорость, чтобы он мог раньше вернуться на свою полосу и чтобы риск ДТП уменьшился.",Я снижаю скорость,"Я смещаюсь вправо, на полосу для парковки",Я сохраняю текущую скорость,
1.1.06-201-M,en,ru,Why may you not overtake in this situation?,"The overtaking lane is not visible due to the cyclists and the course of the road. If you cannot see the overtaking lane, you must not overtake. As you cannot go much faster than the cyclists, the overtaking lane becomes much longer and therefore more dangerous.",Because the overtaking distance is obscured,Because I am travelling only a little faster than the cyclists,Because there is a no-overtaking sign,,Почему в этой ситуации нельзя обгонять?,"Полоса для обгона не просматривается из-за велосипедистов и конфигурации дороги. Если Вы не видите участок обгона, обгонять нельзя. Поскольку Вы едете лишь немного быстрее велосипедистов, путь обгона становится значительно длиннее и опаснее.",Потому что участок обгона не просматривается,Потому что я еду лишь немного быстрее велосипедистов,Потому что установлен знак запрета обгона,
1.1.06-202-M,en,ru,Why are you not allowed to overtake now?,"The cyclist swings to the left and looks over his shoulder. He will probably turn left. Reduce your speed to give the cyclist enough space and ensure that he does not feel pressurised. In this way, you will also avoid endangering the cyclist in the event of an abrupt braking manoeuvre and possible rear-end collisions due to a lack of distance.",Because [the cyclist] could turn off to the left,Because it will impede oncoming traffic,Because there is a no-overtaking sign,,Почему сейчас нельзя обгонять?,"Велосипедист смещается влево и смотрит через плечо. Вероятно, он повернёт налево. Снизьте скорость, чтобы дать велосипедисту достаточно места и не давить на него. Так Вы также избежите опасности для велосипедиста при резком торможении и возможного наезда сзади из-за недостаточной дистанции.",Потому что [велосипедист] может повернуть налево,Потому что это помешает встречному движению,Потому что установлен знак запрета обгона,
1.1.07-001,en,ru,What must you be prepared for when a truck in front of you wishes to turn right into a narrow street?,"Keep a large distance from the lorry and under no circumstances overtake on the right-hand side, even if you would have the opportunity to do so as a two-wheeler driver. The road train must first reduce its speed considerably to turn. For reasons of space, the truck driver may then have to steer the towing vehicle far to the left so that the trailer or semi-trailer does not roll over the kerb when turning.",- reduce speed drastically,- swing out to the left before turning,- move well over to the right,,"К чему нужно быть готовым, если грузовой автомобиль перед Вами хочет повернуть направо на узкую улицу?","Держите большую дистанцию от грузовика и ни в коем случае не обгоняйте справа, даже если как водитель двухколёсного ТС Вы могли бы это сделать. Автопоезд должен значительно снизить скорость для поворота. Из-за нехватки места водитель грузовика может направить тягач далеко влево, чтобы прицеп или полуприцеп при повороте не наехал на бордюр.",- он сильно снизит скорость,- перед поворотом сместится далеко влево,- сильно сместится вправо,
1.1.07-002,en,ru,What do you have to particularly remember at crossroads and junctions in a built-up area?,"By driving on a wide and well-developed road, you don't automatically have the right of way. The rule ""right before left"" does not apply always and everywhere. Instead, signs or traffic lights regulate who has priority. Therefore, pay attention to the signposted right-of-way regulation or the traffic lights at each individual intersection and junction.",Intersecting roads may have priority even though they are narrow and less well developed,A better developed road always has priority,"The rule ""right before left"" applies without exception at all crossroads and junctions",,О чём особенно нужно помнить на перекрёстках и примыканиях в населённом пункте?,"Движение по широкой и хорошо обустроенной дороге не означает автоматически, что у Вас есть приоритет. Правило «помеха справа» действует не всегда и не везде. Приоритет регулируется знаками или светофорами. Поэтому на каждом перекрёстке и примыкании обращайте внимание на знаки приоритета или светофор.","Пересекающие дороги могут иметь приоритет, даже если они узкие и хуже обустроены",Лучше обустроенная дорога всегда имеет приоритет,Правило «помеха справа» действует без исключений на всех перекрёстках и примыканиях,
1.1.07-005-B,en,ru,What must you be prepared for?,"The wet leaves on the road significantly increase the braking distance of your vehicle. Adjust your speed accordingly. Also keep in mind that due to the non-existent priority traffic signs, the ""Left yields to right"" rule applies. You would have to give priority to a vehicle coming from the right, even if the driver is slow and hesitant to approach the intersection due to the weather.",The appearance of a vehicle from the right,"A longer braking distance on account of the wet, leaf-covered road",A vehicle coming from the right will give way despite having priority,,К чему нужно быть готовым?,"Мокрые листья на дороге значительно увеличивают тормозной путь Вашего автомобиля. Соответственно снизьте скорость. Также учитывайте, что при отсутствии знаков приоритета действует правило «помеха справа». Вы должны уступить транспортному средству, приближающемуся справа, даже если его водитель из-за погоды приближается к перекрёстку медленно и нерешительно.",К появлению транспортного средства справа,"К более длинному тормозному пути из-за мокрой дороги, покрытой листьями","К тому, что автомобиль справа уступит дорогу, несмотря на свой приоритет",
1.1.07-006-B,en,ru,Why must you be particularly careful here?,"The wet leaves on the road result in a longer braking distance and a high risk of slipping. Therefore, reduce your speed and drive carefully before reaching the intersection. A vehicle could be coming from the right and you should give it the right of way. Since there are no signs at the intersection that give you the right of way, the rule here is ""right before left"".",Because there is an increased danger of skidding when braking,Because a vehicle could come from the right,Because the car coming from the left has priority,,Почему здесь нужно быть особенно осторожным?,"Мокрые листья на дороге увеличивают тормозной путь и создают высокий риск скольжения. Поэтому снижайте скорость и подъезжайте к перекрёстку осторожно. Справа может появиться транспортное средство, которому Вы должны уступить. Поскольку на перекрёстке нет знаков приоритета, здесь действует правило «помеха справа».",Потому что при торможении повышен риск заноса,Потому что справа может появиться транспортное средство,Потому что автомобиль слева имеет приоритет,
1.1.07-008,en,ru,You want to pull out of a row of parked vehicles into the stream of moving traffic. Behind you is a parked truck and trailer. How do you assess this situation?,"Because of the truck, you can hardly see the traffic behind you. It also obscures the view of the flowing traffic on your vehicle. You must therefore be particularly careful and slowly feel your way on the road. You may need to go back to avoid hazards.","Because of your restricted view, you cannot see approaching vehicles until they are very close","Because of their restricted view, vehicles approaching from behind cannot see your vehicle until very late",It is safe to pull out here because you are protected by the truck and trailer behind you,,Вы хотите выехать из ряда припаркованных автомобилей в поток движения. Позади Вас припаркован грузовик с прицепом. Как оценить эту ситуацию?,"Из-за грузовика Вы почти не видите движение позади. Он также закрывает Ваш автомобиль от обзора движущегося транспорта. Поэтому нужно быть особенно осторожным и медленно выезжать, постепенно «прощупывая» ситуацию. При необходимости придётся снова отъехать назад, чтобы избежать опасности.",Из-за ограниченного обзора Вы увидите приближающиеся транспортные средства только когда они будут совсем близко,Из-за ограниченного обзора приближающиеся сзади водители увидят Ваш автомобиль очень поздно,"Здесь безопасно выезжать, потому что Вас защищает грузовик с прицепом позади",
1.1.07-009,en,ru,You are approaching a school. Children are leaving the school grounds. What must you reckon with?,"In the vicinity of schools, you must always be prepared for children crossing the road abruptly. Children are not yet able to assess themselves and other road users very well and often react impulsively and in a way that is not appropriate for traffic. As a car driver, you must adapt your driving style accordingly in order to exclude any danger to children. In addition to driving at a low speed, you must be particularly attentive and ready to brake at all times.",- rush onto the road without thinking,- ride their bicycles onto the road without paying attention,- always conduct themselves properly on the road,,Вы приближаетесь к школе. Дети выходят с территории школы. С чем нужно считаться?,"Вблизи школ всегда нужно быть готовым к тому, что дети внезапно перейдут дорогу. Дети ещё не умеют хорошо оценивать себя и других участников движения, часто реагируют импульсивно и не по правилам дорожной ситуации. Водитель должен соответствующим образом адаптировать стиль вождения, чтобы исключить опасность для детей. Помимо низкой скорости, необходимо быть особенно внимательным и готовым к торможению.","- они могут выбежать на дорогу, не подумав","- они могут выехать на велосипедах на дорогу, не обращая внимания",- они всегда ведут себя на дороге правильно,
1.1.07-010,en,ru,What do hazard warning lights draw your attention to?,The use of the hazard warning lights is subject to strict rules. You may only switch on the hazard warning lights to secure your broken-down vehicle or to indicate a traffic jam or a school bus. A school bus with its hazard warning lights on may only be overtaken at walking speed.,To vehicles which have broken down,To school buses with children boarding or alighting,To a traffic congestion,,На что указывает аварийная сигнализация?,"Использование аварийной сигнализации строго регулируется. Её можно включать для обозначения неисправного автомобиля, для предупреждения о заторе или на школьном автобусе. Школьный автобус с включённой аварийной сигнализацией можно обгонять только со скоростью пешехода.",На неисправные транспортные средства,"На школьные автобусы, в которые садятся или из которых выходят дети",На затор,
1.1.07-011,en,ru,A big combine harvester in front of you wishes to turn right. What is correct?,"The combine harvester needs to gain amplitude to turn because the turn is very narrow. To do this, it will greatly reduce his speed. Keep your distance and also drive slowly and be prepared to brake. Especially for cyclists: Never overtake on the right!",- will swing far out to the left when turning,- will slow down drastically before turning,- cannot swing out due to rear-wheel steering,,Большой зерноуборочный комбайн перед Вами хочет повернуть направо. Что верно?,"Комбайну нужно взять широкий замах для поворота, потому что поворот очень узкий. Для этого он значительно снизит скорость. Держите дистанцию, также двигайтесь медленно и будьте готовы к торможению. Особенно для велосипедистов: никогда не обгоняйте справа!",- при повороте он сильно сместится влево,- перед поворотом он резко снизит скорость,- он не может смещаться из-за управления задними колёсами,
